hour,day,mean,median
20,Sunday,11434.0,11844.0
20,Thursday,11809.57142857143,12732.0
20,Tuesday,12444.857142857143,12659.0
20,Wednesday,12368.142857142857,12395.0
21,Friday,12393.866666666667,13078.0
21,Monday,12998.857142857143,12488.0
21,Saturday,12134.4,12502.0
21,Sunday,11463.42857142857,11912.0
21,Thursday,11884.857142857143,12763.0
21,Tuesday,12559.0,12612.0
21,Wednesday,12528.285714285714,12755.0
22,Friday,12490.4,13030.0
22,Monday,13083.142857142857,12502.0
22,Saturday,11830.133333333333,12582.0
22,Sunday,11454.285714285714,11931.0
22,Thursday,11894.142857142857,12875.0
22,Tuesday,12711.42857142857,12659.0
22,Wednesday,12752.857142857143,12795.0
23,Friday,12528.533333333333,12984.0
23,Monday,13063.57142857143,12439.0
23,Saturday,11729.333333333334,12506.0
23,Sunday,11480.57142857143,11904.0
23,Thursday,11980.0,12873.0
23,Tuesday,12651.0,12500.0
23,Wednesday,12940.285714285714,13070.0
